id,baseline/000,baseline/001,baseline/002,baseline/003,baseline/004,baseline/005,baseline/006,baseline/007,baseline/008,baseline/009,baseline/010,baseline/011,baseline/012,holdout/000,holdout/001,holdout/002,holdout/003,holdout/004,holdout/005
./spec/iriq/calibration_spec.rb[1:1:133],28,28,33,69,31,38,38,32,36,37,31,71,33,25,24,29,24,25,24
./spec/iriq/calibration_spec.rb[1:1:134],28,28,33,82,30,37,37,33,36,37,30,69,35,25,25,28,25,25,24
./spec/iriq/calibration_spec.rb[1:1:135],28,29,33,70,31,38,37,34,37,39,31,85,34,25,25,28,24,25,25
./spec/iriq/calibration_spec.rb[1:1:136],24,24,27,66,26,136,30,28,30,31,26,70,29,21,20,23,20,20,20
./spec/iriq/calibration_spec.rb[1:1:137],30,29,32,52,31,96,37,33,36,37,31,98,33,25,24,27,24,24,23
./spec/iriq/calibration_spec.rb[1:1:138],28,31,32,48,31,81,36,32,36,37,31,68,33,25,24,26,25,24,23
./spec/iriq/calibration_spec.rb[1:1:139],28,27,32,41,30,70,36,32,35,36,30,66,32,24,23,28,24,25,23
./spec/iriq/calibration_spec.rb[1:1:140],29,30,34,44,31,109,35,34,35,39,30,2341,35,24,25,27,25,25,25
./spec/iriq/calibration_spec.rb[1:1:141],27,28,31,38,30,81,35,32,36,36,31,56,32,24,23,25,23,25,24
./spec/iriq/calibration_spec.rb[1:1:142],23,24,28,36,26,61,30,28,31,33,27,34,28,21,22,21,20,21,22
./spec/iriq/calibration_spec.rb[1:1:143],28,28,32,39,30,74,37,33,38,36,31,39,32,25,23,26,24,25,23
./spec/iriq/calibration_spec.rb[1:1:144],30,32,35,43,33,81,40,36,41,40,34,41,35,27,27,29,25,28,26
./spec/iriq/calibration_spec.rb[1:1:145],28,30,34,41,31,73,37,34,37,37,32,36,34,26,26,26,25,26,24
./spec/iriq/calibration_spec.rb[1:1:146],27,27,33,38,30,70,40,33,35,37,31,32,32,25,25,26,27,25,24
./spec/iriq/calibration_spec.rb[1:1:147],29,28,33,40,31,73,37,33,36,37,32,33,33,25,24,26,24,24,23
./spec/iriq/calibration_spec.rb[1:1:148],28,28,34,40,30,94,38,34,37,37,31,34,33,25,24,26,24,24,27
./spec/iriq/calibration_spec.rb[1:1:149],54,53,61,69,64,92,91,68,95,81,68,62,65,49,52,62,46,51,46
./spec/iriq/calibration_spec.rb[1:1:150],37,37,41,49,42,52,66,45,56,49,43,45,45,33,33,36,33,33,32
./spec/iriq/calibration_spec.rb[1:1:151],33,35,38,44,38,141,52,42,52,46,38,40,41,32,30,33,29,30,31
